 ,GENG-B,Title,Country.x,Country.y,DocDate,InForce,End,GEN.ID,IEA,ECOLEX,James,Xiaolei,Frederic,Google in English,Download Treaty,Amended by,Suspended by,Amends,Supersedes,Lineage,Sequence,Secretariat,Website,AdoptPlace,FullText,DocLangs,Keywords,Data,Articles..etc.,Issue,enabledByTreaty,searchDate,obsolete,abstract,region,subject,officialPublication,Form,Type,Mutuality,Subject,Target,Species,Area
?,GENG-1567,Framework Convention on fishing and aquaculture cooperation between the Republic of Peru and the Republic of Ecuador,ECU,PER,2001-01-18,NA,NA,GFG-979,NA,TRE-148983,,,No end date listed in treaty text | Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DFramework%2520Convention%2520on%2520fishing%2520and%2520aquaculture%2520cooperation%2520between%2520the%2520Republic%2520of%2520Peru%2520and%2520the%2520Republic%2520of%2520Ecuador%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y57bHqgUiGQDxp4NLrd1L3dGSBlMYgqgmNE8hba0boYU,Yes,,,,,,NA,,,Lima,,Spanish,marine fisheries|aquaculture,,,Fisheries,,,,,,,,Convention,Agreement,,Fisheries Cooperation,,Fish,
?,GENG-1576,"Supplementary Agreement to the Agreement on agriculture, livestock and fishery technical cooperation between the Republic of Ecuador and the Republic of Paraguay",ECU,PRY,2001-06-18,NA,NA,GFG-987,NA,TRE-149424,,,No end date listed in treaty text | Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DSupplementary%2520Agreement%2520to%2520the%2520Agreement%2520on%2520agriculture%252C%2520livestock%2520and%2520fishery%2520technical%2520cooperation%2520between%2520the%2520Republic%2520of%2520Ecuador%2520and%2520the%2520Republic%2520of%2520Paraguay%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y57bHqgUiGQDxp4NLrd1L3dGSBlMYgqgmNE8hba0boYU,Yes,,,,,,NA,,,Quito,,Spanish,fishery management and conservation,,,Fisheries,,,,,,,,Agreement,Agreement,,Technical Cooperation,,,
%,GENG-1206,Agreement establishing the framework for general cooperation between Egypt and Ethiopia,EGY,ETH,1993-07-01,NA,NA,,NA,TRE-152361,,Still in force | http://www.mfa.gov.eg/English/EgyptianForeignPolicy/EgyptianAfricanRelation/BilateralRelations/Ethiopia/Pages/Contractualframework.aspx,Listed under http://www.internationalwaterlaw.org/documents/regionaldocs/1993_Ethiopia-Egypt-Framework_Agreement-Nile_Basin.pdf | Listed in International Freshwater Treaty Database,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520establishing%2520the%2520framework%2520for%2520general%2520cooperation%2520between%2520Egypt%2520and%2520Ethiopia%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y6LbHqgUiGQDxp4NLoT1woI5zZ-B18E2q8Bk-XvmkIHU,Yes,,,,,NA,NA,NA,NA,Cairo,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-152361.pdf,English,international agreement-text | inland waters | catchment/watershed | freshwater resources management | basin,NA,NA,WATER,NA,1/7/1993,FALSE,"The two Parties, recognizing the importance of the conservation and protection of the Nile waters, agree that the issue of the Nile water shall be worked out in detail on the basis of the rules and principles of international law. The two Parties will create appropriate mechanism for periodic consultations on matters of mutual concern and shall endeavour towards a framework for effective cooperation among countries in the Nile basin for the promotion of common interest in the development of the basin.",,Water,,,,,,,,
?,GENG-1956,Exchange of Notes between Her Majesty's Government in the United Kingdom and the Egyptian Government on the Use of Waters of the Nile for Irrigation,EGY,GBR,1929-05-07,NA,NA,,NA,NA,,,No information on termination date | Added as GENG-1956 by Frederic in subject area Water from http://www.internationalwaterlaw.org/documents/regionaldocs/Egypt_UK_Nile_Agreement-1929.html,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-2223,Exchange of notes constituting an agreement between the United Kingdom of Great Britain and Northern Ireland and Egypt regarding the utilisation of profits from the 1940 British government cotton buying commission and the 1941 joint Anglo-Egyptian cotton,EGY,GBR,1946-12-10,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2223 by Frederic in subject area Water from International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-1957,Exchange of notes constituting an agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Egypt regarding the construction of the Owen Falls Dam,EGY,GBR,1949-05-31,1949-05-31,NA,,NA,NA,,,No information on termination date | Added as GENG-1957 by Frederic in subject area Water & Energy from http://gis.nacse.org/tfdd/tfdddocs/142ENG.pdf | Listed in International Freshwater Treaties Database,,Yes,,,,,,,,,,,,,,,Water | Energy,,,,,,,,,,,,,,
?,GENG-1958,"Exchange of Notes Constituting An Agreement Between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Egypt Regarding Construction of the Owen Falls Dam, Uganda",EGY,GBR,1949-12-05,1949-12-05,NA,,NA,NA,,,No information on termination date | Added as GENG-1958 by Frederic in subject area Water & Energy from http://www.internationalwaterlaw.org/documents/regionaldocs/owen-falls-dam2.html | Listed in International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water | Energy,,,,,,,,,,,,,,
?,GENG-1960,Exchange of notes constituting an agreement between the Government of the United Kingdom of Great Britain and Northern Ireland (on behalf of the Government of Uganda) and of the Government of Egypt regarding co-operation in meteorological and hydrological surveys in certain areas of the Nile Basin,EGY,GBR,1950-03-20,1950-03-20,NA,,NA,NA,,,No information on termination date | Added as GENG-1960 by Frederic in subject area Water from http://gis.nacse.org/tfdd/tfdddocs/148ENG.pdf | Listed in International Freshwater Treaty Database,,Yes,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-1959,Exchange of Notes Constituting an Agreement Between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Egypt Regarding the Construction of the Owen Falls Dam in Uganda,EGY,GBR,1953-01-05,1953-01-05,NA,,NA,NA,,,No information on termination date | Added as GENG-1959 by Frederic in subject area Water & Energy from http://www.internationalwaterlaw.org/documents/regionaldocs/owen-falls-dam3.html | Listed in International Freshwater Treaty Database,,No,,,,,,,,,,,,,,,Water | Energy,,,,,,,,,,,,,,
%,GENG-961,Agreement on economic and technical cooperation between the Government of the Hellenic Republic and the Government of the Arab Republic of Egypt,EGY,GRC,1986-02-24,NA,NA,GFG-649,NA,TRE-152988,,Still in force | http://www.agora.mfa.gr/frontoffice/portal.asp?cpage=RESOURCE&cresrc=292&cnode=127&clang=1,"Duration period of 5 years stated in treaty text, however, agreement is tacitly renewed thereafter for periods of five year",http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520on%2520economic%2520and%2520technical%2520cooperation%2520between%2520the%2520Government%2520of%2520the%2520Hellenic%2520Republic%2520and%2520the%2520Government%2520of%2520the%2520Arab%2520Republic%2520of%2520Egypt%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y6LbHqgUiGQDxp4NLoT1woI5zZ-B18E2q8Bk-XvmkIHU,Yes,,,,,,NA,,,,,Greek,marine fisheries,,,Fisheries,,,,,,,,Agreement,Agreement,,Technical Cooperation,,Fish,
?,GENG-1521,Protocol of the fifth session of the Joint Ministerial Committee on economic and technical co-operation between the Hellenic republic and the Arab republic of Egypt,EGY,GRC,2000-02-16,NA,NA,GFG-954,NA,TRE-148763,,Not listed on Egyptian MFA website under http://www.mfa.gov.eg/English/EgyptianForeignPolicy/EgyptianEuropeanRelation/BilateralRelations/Greece/Pages/Contractualframework.aspx,No end date stated in treaty text,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DProtocol%2520of%2520the%2520fifth%2520session%2520of%2520the%2520Joint%2520Ministerial%2520Committee%2520on%2520economic%2520and%2520technical%2520co-operation%2520between%2520the%2520Hellenic%2520republic%2520and%2520the%2520Arab%2520republic%2520of%2520Egypt%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y6bbHqgUiGQDxp4NLFlGkvLXoizPsrrorIYGLDfo7HDI,Yes,,,,,,NA,,,,,Greek,aquatic animal products,,,Fisheries,,,,,,,,Protocol,Amendment,,Technical Cooperation,,,
%,GENG-1718,Memorandum of Cooperation between the Hellenic Republic and the Arab Republic of Egypt in the field of natural gas and oil,EGY,GRC,2006-05-07,NA,2008-05-07,,NA,TRE-151263,,"Still in force, as it was signed during the recent visit of the Minister of Development to Egypt | http://www.agora.mfa.gr/frontoffice/portal.asp?cpage=RESOURCE&cresrc=292&cnode=127&clang=1",Duration period of 2 years stated in treaty text,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DMemorandum%2520of%2520Cooperation%2520between%2520the%2520Hellenic%2520Republic%2520and%2520the%2520Arab%2520Republic%2520of%2520Egypt%2520in%2520the%2520field%2520of%2520natural%2520gas%2520and%2520oil%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y6bbHqgUiGQDxp4NLFlGkvLXoizPsrrorIYGLDfo7HDI,Yes,,,,,,NA,,NA,NA,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-151263.pdf,Greek,international agreement-text | natural gas | oil | research,,,ENERGY,NA,7/5/2006,false,"The subject of this Memorandum of Cooperation is to establish a framework for the basis of joint cooperation between the Parties in the field of gas as well as in the field of research, extraction and exploitation of oil and exchange of know-how in these fields. The Parties shall assess and evaluate the possibility of selling and transferring, through pipelines, Egyptian natural gas to Greece and from there to other European countries, and study the related terms. The Parties shall also extend the existing cooperation in the field of exporting Egyptian natural gas in the form of compressed natural gas(CNG) and start implementing the detailed development plans.The Memorandum does not constitute any selling, purchasing nor transfer obligations to either Party.",,Energy,"Efimeris tis Kyverniseos No. 151, Part I, 19 July 2006, pp. 1615-1616.",,,,,,,
?,GENG-1743,Protocol of the first session on the Joint Greek-Egyptian Committee for the scientific and technological cooperation,EGY,GRC,2006-12-21,NA,NA,GFG-1062,NA,TRE-151437,,Not listed on Egyptian MFA website under http://www.mfa.gov.eg/English/EgyptianForeignPolicy/EgyptianEuropeanRelation/BilateralRelations/Greece/Pages/Contractualframework.aspx,No end date listed for the protocol of the first session on the Joint Greek-Egyptian Committee,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DProtocol%2520of%2520the%2520first%2520session%2520on%2520the%2520Joint%2520Greek-Egyptian%2520Committee%2520for%2520the%2520scientific%2520and%2520technological%2520cooperation%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y6rbHqgUiGQDxp4NLar0y2BQ6Y2dOXFBxUqXF7Iqx954,Yes,,,,,,NA,,,Athens,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-151437.pdf,Greek|English,air pollution (stationary sources) | aquaculture | international agreement-text | environmental planning | freshwater quality/freshwater pollution | freshwater resources management,,,Fisheries|Water,,21/12/2006,FALSE,"The first Joint Committee Meeting for the scientific and technological cooperation is based on the Agreement of scientific and technological cooperation between the government of the Hellenic Republic and the government of the Arab Republic of Egypt, signed in Cairo, November 15 2004. Both delegations presented a general aspect of their respective scientific and technological policy, focusing on specific actions, aiming to promote research, technology and other innovative efforts. Both parties agreed on the selection and approval of the joint projects for the years 2006-2008 which include, among others, projects on the sectors of aquaculture, water and waste management, environment, atmospheric pollution.",,Water | Fisheries | Environment gen.,"Efimeris tis Kyverniseos No. 74, Part I, 5 May 2008, pp. 1229-1240.",Protocol,Amendment,,Technical Cooperation,,,
%,GENG-1773,Economic Cooperation Agreement between Egypt and Hungary ratified by Presidential Resolution No. 28 of 2008,EGY,HUN,2007-09-20,2008-01-28,NA,,NA,TRE-151587,,Still in force | http://www.mfa.gov.eg/English/EgyptianForeignPolicy/EgyptianEuropeanRelation/BilateralRelations/Hungary/Pages/Contractualframework.aspx,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DEconomic%2520Cooperation%2520Agreement%2520between%2520Egypt%2520and%2520Hungary%2520ratified%2520by%2520Presidential%2520Resolution%2520No.%252028%2520of%25202008%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y6rbHqgUiGQDxp4NLar0y2BQ6Y2dOXFBxUqXF7Iqx954,Yes,,,,,,NA,,NA,Budapest,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-151587.pdf,Arabic | Hungarian,international agreement-text | institution,,,ENERGY|Water,NA,20/9/2007,false,"This Agreement is composed of 6 articles. Articles 1 to 3 deal with fields of cooperation between the Parties, in particular: agriculture; environment; water management; housing and construction; electricity and energy; oil and gas; tourism; industry; transportation; exchange of economic information; development projects; investment activities; consultation services; and, marketing. Article 4 decrees the establishment of the Joint Committee for the implementation of this Agreement and laying down proposes and ides for the development of economic, scientific and technical cooperation between the tow Countries.",,Water | Energy | Environment gen. | Agriculture,"Official Gazette No. 9, 28 February 2008, 7 pp.",,,,,,,
%,GENG-313,Exchange Of Letters Constituting An Agreement Between The Government Of India And The Government Of The United Arab Republic Relating To Development Of Atomic Energy For Peaceful Purposes,EGY,IND,1962-07-10,1962-07-10,NA,,IEA-214,NA,,,Still in force | https://cnpp.iaea.org/countryprofiles/India/India.htm,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DExchange%2520Of%2520Letters%2520Constituting%2520An%2520Agreement%2520Between%2520The%2520Government%2520Of%2520India%2520And%2520The%2520Government%2520Of%2520The%2520United%2520Arab%2520Republic%2520Relating%2520To%2520Development%2520Of%2520Atomic%2520Energy%2520For%2520Peaceful%2520Purposes%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y67bHqgUiGQDxp4NL2tmHBXUmhnm1vDIO_8gnYWmTR5I,No,,,,,,NA,,,,,,,,,ENERGY,,,,,,,,,,,,,,
?,GENG-93,Treaty between Italy and Egypt concerning Access Rights to Egyptian Waters,EGY,ITA,1906-07-14,NA,NA,GFG-92,IEA-4072,NA,,Not found in UNTC,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520between%2520Italy%2520and%2520Egypt%2520concerning%2520Access%2520Rights%2520to%2520Egyptian%2520Waters%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y67bHqgUiGQDxp4NL2tmHBXUmhnm1vDIO_8gnYWmTR5I,No,,,,,,100,No known secretariat,,,,,,,,Fisheries,,,,,,,,Treaty,Agreement,Directed,Access,EGY,,EGY
?,GENG-2224,"Agreement fixing the frontier between Cyrenaica and Egypt. Cairo, 6 December, 1925",EGY,ITA,1925-12-06,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2224 by Frederic in subject area Water from International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
%,GENG-939,Bilateral Agreement between Jordan and Egypt in sea navigation,EGY,JOR,1985-01-09,NA,NA,,NA,TRE-150093,,Still in force | http://www.jedco.gov.jo/jedcod/agreement/agree_search?agree_type=05,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DBilateral%2520Agreement%2520between%2520Jordan%2520and%2520Egypt%2520in%2520sea%2520navigation%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y67bHqgUiGQDxp4NL2tmHBXUmhnm1vDIO_8gnYWmTR5I,Yes,,,,,NA,NA,NA,www.mot.gov.jo,Cairo,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-150093.doc,Arabic,certification | disasters | dispute settlement | institution | international agreement-text | navigation | offences/penalties | territorial sea,NA,NA,OCEAN,NA,9/1/1985,FALSE,"This Agreement is composed of 20 articles. Article 1 deal with the terms and definitions. Article 3 decrees the creation of a joint navigation line between both Countries. Article 4 encourages the reciprocal cooperation in construction and development of a joint navigation fleet for the commercial transportation. Article 6 encourages the stipulation of agreements between ship owners in both Countries for the development of the external trade transportation. Article 8 provides for rights of ships and services in ports of both Parts. Article 9 defines measures to be taken for quarantine, customs and management. Articles 10-12 concern the reciprocal recognition of ship documents and certificates. Article 14 refers to  the reciprocal recognition of crew travel documents, residence rights and navigation registers. Article 16 defines measures and steps to be taken in case of sea accidents. Article 17 decrees the establishment of the Permanent Joint Committee to monitor the implementation of this Agreement. Article 19 relates to amendments of this Agreement.",,Sea,,,,,,,,
?,GENG-1483,Co-Operative Agreement Between Jordan And Egypt In Fisheries,EGY,JOR,1998-12-10,1999-08-21,NA,GFG-932,IEA-1158,TRE-149157,,Not found in UNTC,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DCo-Operative%2520Agreement%2520Between%2520Jordan%2520And%2520Egypt%2520In%2520Fisheries%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y7LbHqgUiGQDxp4NLi1AjY1Og3L2fo2W0YSK8NInsBfw,Yes,,,,,,100,No known secretariat,,Amman,,Arabic,research|access-to-information|aquatic animals|institution|marine fisheries|policy/planning|protected fishing area,,,Fisheries,,,,,,,,Agreement,Agreement,Reciprocal,Cooperation,Fisheries,Fish,
?,GENG-1522,Cooperation Agreement on Agriculture between Egypt and Kuwait,EGY,KWT,2000-02-21,2001-08-13,NA,GFG-955,NA,TRE-149244,,Not found in UNTC,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DCooperation%2520Agreement%2520on%2520Agriculture%2520between%2520Egypt%2520and%2520Kuwait%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y7LbHqgUiGQDxp4NLi1AjY1Og3L2fo2W0YSK8NInsBfw,Yes,,,,,,NA,,,Cairo,,Arabic,policy/planning|research|capacity building|aquatic animals|mariculture,,,Fisheries,,,,,,,,Agreement,Agreement,,Technical Cooperation,,,
